feature,train_mean,holdout_mean,train_std,holdout_std,ks_stat,corr_train,corr_holdout,corr_diff,concept_drift
price_above_sma50,0.5290492957746479,0.6026097271648873,0.4991554251082493,0.4893579915472387,0.07356043139023938,0.07771888480906199,-0.20553120136404465,-0.28325008617310665,True
price_above_sma20,0.5117370892018779,0.575326215895611,0.4998622217542221,0.4942933958681299,0.06358912669373296,0.0955807088680424,-0.08016405008020634,-0.17574475894824876,True
stoch_d,0.5073868769949847,0.5468342963689402,0.25378818248875984,0.24281377267267307,0.0824948206439109,0.09006595276751474,-0.08049421410418481,-0.17056016687169956,True
bb_bandwidth,0.025474993410700784,0.023805722899239427,0.01524265739669349,0.022237672020377075,0.17572323024743958,-0.0690202940259469,0.09811732533429808,0.16713761936024496,True
rsi_14,49.82601594503563,53.226098465063885,11.97964673786052,12.289025775036846,0.09493154060782247,0.07951055742670492,-0.06923074128856294,-0.14874129871526787,True
sma20_above_sma50,0.5440140845070423,0.5931198102016607,0.49805899285627503,0.4912521765325897,0.04910572569461846,0.05242352052655131,-0.09442904947759968,-0.146852570004151,True
day_sin,-0.004547220705485105,-0.003469494349401525,0.7057257234915482,0.7082309722546333,0.0033383873824202603,-0.10344334892192449,0.04221774766128474,0.14566109658320922,True
rsi_21,49.76783814830946,53.318555596006476,9.82306071627163,10.66483995122586,0.11189497602459358,0.07348242440459085,-0.060319254359640764,-0.1338016787642316,True
bb_position,0.5066114177039182,0.5503026144749444,0.32832836414177047,0.32326855998437715,0.08291355487611313,0.0726433908854647,-0.05533783984459523,-0.12798123073005993,True
rsi_7,49.91698204642815,53.03570277753589,16.451643833953376,16.383192087665975,0.07394261774681302,0.06573435128013957,-0.0595134875295091,-0.12524783880964868,True
stoch_k,0.5074159504737041,0.546711411826976,0.27386325687443264,0.2635743636207289,0.0747581574858403,0.0695691169771652,-0.050121299236947706,-0.1196904162141129,True
volatility_20,0.003881808493112546,0.0033438968947116223,0.001862293478918292,0.0021562713204654155,0.24741554308054736,-0.04776921356390669,0.05911980228226244,0.10688901584616914,True
volume_ma_20,415.2429909860915,308.80348272194544,196.86950640879027,165.30034708870926,0.3324321671428333,-0.07807218511136918,0.021508693771697503,0.09958087888306669,True
macd_norm,-0.00026004325301480367,0.001816841565113013,0.0045030257471197445,0.005468645569053732,0.169922560272668,0.09665823572743609,-0.0013373972576694244,-0.09799563298510551,True
atr_norm_14,0.005962279126585613,0.005005608117104757,0.0024302623737229093,0.00270473940995329,0.2671054500192137,-0.0689964329425394,0.027292423898458727,0.09628885684099814,True
volatility_parkinson_20,0.004076256084101931,0.0035017097711052183,0.0016347373985305036,0.001987290367807707,0.2985324461597581,-0.04921472734341438,0.04699188456135444,0.09620661190476881,True
macd_signal_norm,-0.0002579560988880412,0.0017968109651091428,0.004263558112079013,0.005242271251660763,0.17609184167877967,0.07562518317583522,-0.01858187238701259,-0.09420705556284781,True
sma_cross_10_50,-0.0005451030771430446,0.0055472982676392155,0.012837155732085086,0.016682642668873315,0.17245271749118674,0.07909534898234566,-0.012305612293657226,-0.09140096127600289,True
volatility_garman_klass_20,0.004131975052307557,0.0035420480120640753,0.0016024993163050929,0.0019207084615084154,0.29662882395201584,-0.04640317750485438,0.04088405970974766,0.08728723721460203,True
ema_cross_5_20,-0.00023547422448116968,0.002049090432516938,0.005900176849463311,0.00703026147903128,0.12869760078859876,0.10627275372563819,0.020207205413034463,-0.08606554831260373,False
